start_time,datetime,flow_mean,flow_total,transactions_count_flow
1743944400000,2025-04-06 13:00:00,0.00038498,0.00076995,2
1743948000000,2025-04-06 14:00:00,0.00034222,0.00068444,2
1743951600000,2025-04-06 15:00:00,0.00432777,0.02596665,6
1743955200000,2025-04-06 16:00:00,0.00060881,0.00243525,4
1743958800000,2025-04-06 17:00:00,0.00386316,0.01545263,4
1743962400000,2025-04-06 18:00:00,0.00981901,0.07855207,8
1743966000000,2025-04-06 19:00:00,0.0205455,0.123273,6
1743969600000,2025-04-06 20:00:00,0.00911056,0.0728845,8
1743973200000,2025-04-06 21:00:00,0.02253402,0.15773811,7
1743976800000,2025-04-06 22:00:00,0.02417409,0.07252228,3
1743980400000,2025-04-06 23:00:00,0.0002792,0.0008376,3
1743984000000,2025-04-07 00:00:00,0.00242962,0.00728887,3
1743987600000,2025-04-07 01:00:00,0.00439774,0.02198872,5
1743991200000,2025-04-07 02:00:00,0.0,0.0,0
1743994800000,2025-04-07 03:00:00,0.00566135,0.02830673,5
1743998400000,2025-04-07 04:00:00,0.00968966,0.08720698,9
1744002000000,2025-04-07 05:00:00,0.0,0.0,0
1744005600000,2025-04-07 06:00:00,0.18007876,1.08047253,6
1744009200000,2025-04-07 07:00:00,0.80055505,4.00277524,5
1744012800000,2025-04-07 08:00:00,0.01132116,0.10189046,9
1744016400000,2025-04-07 09:00:00,0.00987482,0.10862301,11
1744020000000,2025-04-07 10:00:00,0.00100065,0.00400259,4
1744023600000,2025-04-07 11:00:00,0.0369,0.1476,4
1744027200000,2025-04-07 12:00:00,0.03428047,0.10284142,3
1744030800000,2025-04-07 13:00:00,0.00298164,0.03876128,13
1744034400000,2025-04-07 14:00:00,0.01486488,0.11891902,8
1744038000000,2025-04-07 15:00:00,0.005016,0.015048,3
1744041600000,2025-04-07 16:00:00,0.0,0.0,0
1744045200000,2025-04-07 17:00:00,0.0015,0.0015,1
1744048800000,2025-04-07 18:00:00,0.00281657,0.01126628,4
1744052400000,2025-04-07 19:00:00,0.02602078,0.05204156,2
1744056000000,2025-04-07 20:00:00,0.00281611,0.00844834,3
1744059600000,2025-04-07 21:00:00,0.00059116,0.00118231,2
1744063200000,2025-04-07 22:00:00,0.00876159,0.04380793,5
1744066800000,2025-04-07 23:00:00,3.802e-05,3.802e-05,1
1744070400000,2025-04-08 00:00:00,0.01277828,0.03833484,3
1744074000000,2025-04-08 01:00:00,2.165e-05,6.495e-05,3
1744077600000,2025-04-08 02:00:00,0.00810831,0.0567582,7
1744081200000,2025-04-08 03:00:00,5.41e-06,5.41e-06,1
1744084800000,2025-04-08 04:00:00,0.00992945,0.0198589,2
1744088400000,2025-04-08 05:00:00,0.0007109,0.0014218,2
1744092000000,2025-04-08 06:00:00,0.03002522,0.06005045,2
1744095600000,2025-04-08 07:00:00,0.00032137,0.00257093,8
1744099200000,2025-04-08 08:00:00,0.00014117,0.00211756,15
1744102800000,2025-04-08 09:00:00,0.00394612,0.02762285,7
1744106400000,2025-04-08 10:00:00,0.00086946,0.00608622,7
1744110000000,2025-04-08 11:00:00,0.0016077,0.00482311,3
1744113600000,2025-04-08 12:00:00,8.2e-05,0.00065604,8
1744117200000,2025-04-08 13:00:00,0.0023291,0.02794924,12
1744120800000,2025-04-08 14:00:00,1.472e-05,5.887e-05,4
1744124400000,2025-04-08 15:00:00,0.00312892,0.06257849,20
1744128000000,2025-04-08 16:00:00,0.00172861,0.01037166,6
1744131600000,2025-04-08 17:00:00,0.00047274,0.0023637,5
1744135200000,2025-04-08 18:00:00,0.00010758,0.00010758,1
1744138800000,2025-04-08 19:00:00,0.00100908,0.00302723,3
1744142400000,2025-04-08 20:00:00,0.00294254,0.01177015,4
1744146000000,2025-04-08 21:00:00,0.00261233,0.00783699,3
1744149600000,2025-04-08 22:00:00,5.46e-06,1.092e-05,2
1744153200000,2025-04-08 23:00:00,0.02397182,0.04794364,2
1744156800000,2025-04-09 00:00:00,5.46e-06,5.46e-06,1
1744160400000,2025-04-09 01:00:00,0.00310842,0.00932525,3
1744164000000,2025-04-09 02:00:00,5.44e-06,5.44e-06,1
1744167600000,2025-04-09 03:00:00,0.00302676,0.02421406,8
1744171200000,2025-04-09 04:00:00,5.712e-05,0.00039985,7
1744174800000,2025-04-09 05:00:00,0.00047195,0.00283169,6
1744178400000,2025-04-09 06:00:00,0.0,0.0,0
1744182000000,2025-04-09 07:00:00,5.39e-06,1.618e-05,3
1744185600000,2025-04-09 08:00:00,0.02482304,0.04964608,2
1744189200000,2025-04-09 09:00:00,0.00326792,0.01307166,4
1744192800000,2025-04-09 10:00:00,7.09e-06,2.127e-05,3
1744196400000,2025-04-09 11:00:00,0.00038077,0.00038077,1
1744200000000,2025-04-09 12:00:00,0.0165,0.0165,1
1744203600000,2025-04-09 13:00:00,0.00020733,0.00062198,3
1744207200000,2025-04-09 14:00:00,0.00113245,0.00792712,7
1744210800000,2025-04-09 15:00:00,0.00012063,0.0007238,6
1744214400000,2025-04-09 16:00:00,0.00492732,0.02956395,6
1744218000000,2025-04-09 17:00:00,0.07808459,0.54659215,7
1744221600000,2025-04-09 18:00:00,0.02710186,0.27101863,10
1744225200000,2025-04-09 19:00:00,0.00329608,0.0164804,5
1744228800000,2025-04-09 20:00:00,0.00016167,0.00064668,4
1744232400000,2025-04-09 21:00:00,0.00163256,0.00979538,6
1744236000000,2025-04-09 22:00:00,1.084e-05,2.167e-05,2
1744239600000,2025-04-09 23:00:00,0.00250256,0.00500513,2
1744243200000,2025-04-10 00:00:00,0.00128934,0.00257869,2
1744246800000,2025-04-10 01:00:00,0.00019565,0.00078259,4
1744250400000,2025-04-10 02:00:00,0.0102889,0.0411556,4
1744254000000,2025-04-10 03:00:00,0.00061962,0.00433735,7
1744257600000,2025-04-10 04:00:00,0.00604188,0.01208375,2
1744261200000,2025-04-10 05:00:00,0.40808631,0.81617262,2
1744264800000,2025-04-10 06:00:00,0.00084682,0.00846815,10
1744268400000,2025-04-10 07:00:00,0.00446585,0.02232925,5
1744272000000,2025-04-10 08:00:00,0.00167026,0.00501078,3
1744275600000,2025-04-10 09:00:00,0.00346568,0.02425973,7
1744279200000,2025-04-10 10:00:00,0.00319203,0.02234423,7
1744282800000,2025-04-10 11:00:00,0.06588837,0.527107,8
1744286400000,2025-04-10 12:00:00,0.00047599,0.00142798,3
1744290000000,2025-04-10 13:00:00,0.00425957,0.02129786,5
1744293600000,2025-04-10 14:00:00,0.00903368,0.03613473,4
1744297200000,2025-04-10 15:00:00,0.00503718,0.03022307,6
