start_time,date,price_usd_adj_close,price_usd_close,price_usd_high,price_usd_low,price_usd_open
1735603200000,2024-12-31,74.02,74.02,76.3,73.8,75.92
1735776000000,2025-01-02,77.21,77.21,77.66,76.09,76.44
1735862400000,2025-01-03,78.02,78.02,78.65,76.65,77.06
1736121600000,2025-01-06,81.04,81.04,81.4401,78.43,78.51
1736208000000,2025-01-07,76.45,76.45,79.985,76.145,79.9
1736294400000,2025-01-08,74.48,74.48,76.15,73.25,75.64
1736467200000,2025-01-10,75.09,75.09,76.02,73.11,74.84
1736726400000,2025-01-13,74.16,74.16,74.34,70.7,72.04
1736812800000,2025-01-14,76.47,76.47,77.11,75.58,76.7
1736899200000,2025-01-15,78.97,78.97,79.91,78.21,78.28
1736985600000,2025-01-16,79.56,79.56,79.79,77.1,78.73
1737072000000,2025-01-17,83.05,83.05,84.1,81.215,81.49
1737417600000,2025-01-21,84.12,84.12,85.06,81.4,83.34
1737504000000,2025-01-22,82.7,82.7,83.34,81.84,82.95
1737590400000,2025-01-23,81.9,81.9,84.71,81.05,81.12
1737676800000,2025-01-24,83.17,83.17,85.02,82.97,83.43
1737936000000,2025-01-27,80.25,80.25,81.07,78.21,79.86
1738022400000,2025-01-28,80.17,80.17,82.24,80.16,81.24
1738108800000,2025-01-29,82.58,82.58,83.09,80.32,80.9
1738195200000,2025-01-30,83.18,83.18,84.45,83.025,83.16
1738281600000,2025-01-31,80.41,80.41,84.09,80.37,82.95
1738540800000,2025-02-03,80.17,80.17,80.925,74.82,75.16
1738627200000,2025-02-04,78.19,78.19,79.935,77.61,78.65
1738713600000,2025-02-05,77.08,77.08,78.62,76.43,78.25
1738800000000,2025-02-06,76.78,76.78,78.415,75.78,77.92
1738886400000,2025-02-07,75.85,75.85,79.43,75.73,79.0
1739145600000,2025-02-10,77.09,77.09,77.65,76.7,77.4
1739232000000,2025-02-11,75.4,75.4,77.08,75.04,76.73
1739318400000,2025-02-12,76.8,76.8,77.35,74.8,74.93
1739404800000,2025-02-13,76.22,76.22,76.38,75.355,75.97
1739491200000,2025-02-14,77.01,77.01,78.44,76.23,76.47
1739836800000,2025-02-18,74.48,74.48,76.485,73.82,76.39
1739923200000,2025-02-19,76.08,76.08,76.566,75.515,76.28
1740009600000,2025-02-20,78.01,78.01,78.22,76.595,77.41
1740096000000,2025-02-21,75.06,75.06,78.71,74.9,78.48
1740355200000,2025-02-24,74.34,74.34,75.85,74.08,75.51
1740441600000,2025-02-25,69.62,69.62,70.55,67.7833,70.53
1740528000000,2025-02-26,66.71,66.71,69.89,64.97,67.86
1740614400000,2025-02-27,65.95,65.95,68.31,65.3,68.26
1740700800000,2025-02-28,66.61,66.61,67.3794,64.12,64.75
1740960000000,2025-03-03,68.03,68.03,73.79,67.335,73.72
1741046400000,2025-03-04,68.74,68.74,70.29,64.41,65.45
1741132800000,2025-03-05,71.56,71.56,71.64,69.26,70.99
1741219200000,2025-03-06,70.44,70.44,72.3436,69.43,71.11
1741305600000,2025-03-07,68.79,68.79,72.08,68.42,70.47
1741564800000,2025-03-10,62.43,62.43,65.55,61.16,65.36
1741651200000,2025-03-11,65.7,65.7,66.12,62.485,64.38
1741737600000,2025-03-12,65.57,65.57,66.26,63.7,65.84
1741824000000,2025-03-13,63.38,63.38,65.73,63.149,65.56
1741910400000,2025-03-14,66.95,66.95,67.51,65.365,65.95
1742169600000,2025-03-17,66.81,66.81,67.03,65.19,65.53
1742256000000,2025-03-18,65.08,65.08,65.22,64.11,65.1
1742342400000,2025-03-19,67.59,67.59,68.01,66.1,66.38
1742428800000,2025-03-20,66.5,66.5,68.41,66.09,67.29
1742515200000,2025-03-21,66.32,66.32,66.73,65.71,66.13
1742774400000,2025-03-24,69.77,69.77,70.21,68.96,69.0
1742860800000,2025-03-25,69.72,69.72,69.8599,68.85,69.31
1742947200000,2025-03-26,68.41,68.41,69.53,67.835,69.18
1743033600000,2025-03-27,68.8,68.8,69.22,67.83,68.24
1743120000000,2025-03-28,66.18,66.18,67.62,65.99,67.4
1743379200000,2025-03-31,65.17,65.17,66.3,64.49,65.21
1743465600000,2025-04-01,67.16,67.16,67.62,65.16,66.13
1743552000000,2025-04-02,68.7,68.7,69.07,66.77,66.88
1743638400000,2025-04-03,64.76,64.76,65.38,64.11,64.74
1743724800000,2025-04-04,66.32,66.32,66.87,64.58,65.28
1743984000000,2025-04-07,61.59,61.59,64.16,59.79,60.68
1744070400000,2025-04-08,60.61,60.61,63.45,60.1801,63.3
1744156800000,2025-04-09,65.04,65.04,65.56,60.52,60.55
